Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-24 14:04:34.3,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:35.4,-0.0,25.2,97.1,24.9,24.0
2026-03-24 14:04:36.4,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:37.5,-0.0,25.2,97.1,24.9,24.0
2026-03-24 14:04:38.5,-0.0,25.2,97.1,24.9,24.0
2026-03-24 14:04:39.6,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:40.6,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:41.7,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:42.7,-0.0,25.2,97.1,24.9,24.0
2026-03-24 14:04:43.8,-0.0,25.2,97.1,24.9,24.0
2026-03-24 14:04:44.8,-0.0,25.2,97.1,24.9,24.0
2026-03-24 14:04:45.9,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:46.9,-0.0,25.2,97.1,24.9,24.0
2026-03-24 14:04:48.0,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:49.0,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:50.1,-0.0,25.2,97.1,24.9,24.0
2026-03-24 14:04:51.1,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:52.2,-0.0,25.2,97.1,24.9,24.0
2026-03-24 14:04:53.1,-0.0,25.2,97.1,24.9,24.0
2026-03-24 14:04:53.2,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.2,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.3,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.3,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.4,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.4,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.5,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.5,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.6,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.6,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.7,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.7,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.8,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.9,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:53.9,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:54.0,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:54.0,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:54.1,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:54.1,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:54.2,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:54.2,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:54.3,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:54.3,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:54.5,-0.0,25.2,97.1,24.8,24.0
2026-03-24 14:04:55.2,-0.0,25.2,97.1,24.9,24.0
2026-03-24 14:04:55.3,-0.0,25.2,97.1,24.9,24.0
