Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.24,-95.153
0.49,-95.475
0.73,-95.416
0.98,-95.454
1.22,-95.312
1.46,-95.082
1.71,-94.067
1.95,-93.358
2.20,-93.178
2.44,-92.915
2.69,-90.575
2.93,-91.421
3.17,-91.288
3.42,-90.679
3.66,-92.414
3.91,-92.552
4.15,-91.299
4.39,-89.089
4.64,-89.022
4.88,-89.566
5.13,-89.179
5.37,-89.530
5.62,-89.888
5.86,-88.940
6.10,-87.291
6.35,-90.208
6.59,-89.706
6.84,-87.527
7.08,-88.347
7.32,-86.290
7.57,-84.301
7.81,-87.900
8.06,-89.358
8.30,-85.373
8.54,-85.263
8.79,-86.828
9.03,-86.406
9.28,-85.327
9.52,-84.908
9.77,-85.642
10.01,-86.629
10.25,-86.618
10.50,-84.338
10.74,-84.050
10.99,-83.906
11.23,-83.710
11.47,-85.757
11.72,-83.931
11.96,-86.095
12.21,-87.267
12.45,-85.605
12.70,-85.943
12.94,-82.250
13.18,-85.954
13.43,-82.126
13.67,-82.975
13.92,-82.384
14.16,-84.576
14.40,-85.622
14.65,-83.542
14.89,-82.879
15.14,-82.552
15.38,-83.595
15.62,-78.339
15.87,-86.823
16.11,-85.210
16.36,-85.647
16.60,-85.328
16.85,-84.290
17.09,-86.514
17.33,-86.218
17.58,-86.252
17.82,-84.577
18.07,-82.546
18.31,-84.985
18.55,-84.542
18.80,-85.543
19.04,-87.344
19.29,-85.043
19.53,-81.224
19.78,-83.979
20.02,-85.666
20.26,-82.870
20.51,-85.296
20.75,-84.761
21.00,-83.288
21.24,-83.756
21.48,-84.068
21.73,-85.166
21.97,-85.195
22.22,-83.442
22.46,-81.943
22.71,-85.106
22.95,-85.470
23.19,-82.652
23.44,-81.507
23.68,-84.061
23.93,-84.864
24.17,-83.082
24.41,-82.782
24.66,-82.643
24.90,-83.421
25.15,-83.014
25.39,-83.502
25.63,-82.030
25.88,-80.130
26.12,-79.568
26.37,-79.338
26.61,-81.003
26.86,-81.890
27.10,-80.893
27.34,-78.490
27.59,-78.959
27.83,-77.508
28.08,-78.160
28.32,-76.977
28.56,-73.291
28.81,-66.266
29.05,-76.289
29.30,-76.578
29.54,-67.355
29.79,-71.159
30.03,-76.235
30.27,-79.564
30.52,-77.418
30.76,-77.929
31.01,-77.705
31.25,-75.450
31.49,-80.520
31.74,-76.891
31.98,-77.830
32.23,-77.319
32.47,-75.821
32.71,-79.156
32.96,-77.952
33.20,-75.903
33.45,-73.690
33.69,-74.308
33.94,-75.932
34.18,-75.871
34.42,-73.284
34.67,-71.328
34.91,-73.021
35.16,-74.507
35.40,-73.456
35.64,-79.069
35.89,-78.519
36.13,-75.894
36.38,-77.510
36.62,-79.726
36.87,-76.765
37.11,-80.074
37.35,-78.641
37.60,-76.387
37.84,-78.694
38.09,-78.438
38.33,-77.395
38.57,-76.885
38.82,-76.885
39.06,-77.538
39.31,-75.765
39.55,-77.291
39.79,-76.384
40.04,-74.822
40.28,-78.769
40.53,-75.585
40.77,-77.513
41.02,-79.138
41.26,-77.806
41.50,-77.672
41.75,-76.951
41.99,-77.152
42.24,-77.287
42.48,-78.055
42.72,-76.215
42.97,-74.314
43.21,-76.720
43.46,-76.496
43.70,-75.698
43.95,-74.876
44.19,-77.431
44.43,-74.460
44.68,-77.855
44.92,-74.632
45.17,-73.034
45.41,-75.408
45.65,-74.315
45.90,-74.741
46.14,-77.035
46.39,-75.964
46.63,-78.757
46.88,-78.047
47.12,-77.169
47.36,-76.321
47.61,-74.521
47.85,-75.845
48.10,-75.509
48.34,-74.379
48.58,-74.169
48.83,-74.812
49.07,-74.265
49.32,-76.819
49.56,-74.159
49.80,-74.996
50.05,-75.018
50.29,-77.411
50.54,-77.521
50.78,-76.365
51.03,-75.423
51.27,-75.797
51.51,-76.263
51.76,-75.295
52.00,-74.181
52.25,-74.721
52.49,-72.675
52.73,-74.356
52.98,-74.571
53.22,-71.888
53.47,-74.111
53.71,-73.549
53.96,-73.772
54.20,-75.576
54.44,-75.569
54.69,-75.249
54.93,-73.619
55.18,-75.740
55.42,-75.897
55.66,-74.461
55.91,-74.253
56.15,-73.962
56.40,-74.807
56.64,-75.978
56.88,-74.521
57.13,-73.960
57.37,-71.443
57.62,-75.266
57.86,-74.268
58.11,-71.880
58.35,-72.801
58.59,-70.324
58.84,-72.477
59.08,-72.905
59.33,-73.161
59.57,-74.398
59.81,-76.309
60.06,-73.750
60.30,-75.950
60.55,-73.000
60.79,-72.027
61.04,-73.513
61.28,-71.454
61.52,-73.540
61.77,-73.229
62.01,-75.156
62.26,-73.488
62.50,-71.137
62.74,-73.886
62.99,-73.700
63.23,-73.957
63.48,-74.401
63.72,-74.547
63.96,-71.466
64.21,-75.314
64.45,-72.903
64.70,-72.671
64.94,-73.363
65.19,-74.795
65.43,-76.202
65.67,-76.849
65.92,-74.163
66.16,-74.557
66.41,-71.100
66.65,-73.253
66.89,-74.598
67.14,-73.326
67.38,-73.947
67.63,-73.783
67.87,-74.687
68.12,-73.696
68.36,-73.293
68.60,-73.954
68.85,-72.848
69.09,-71.038
69.34,-74.484
69.58,-73.780
69.82,-72.991
70.07,-75.247
70.31,-73.385
70.56,-72.044
70.80,-72.643
71.04,-75.161
71.29,-74.436
71.53,-74.971
71.78,-73.149
72.02,-72.521
72.27,-73.511
72.51,-74.612
72.75,-73.885
73.00,-74.579
73.24,-72.325
73.49,-75.013
73.73,-72.780
73.97,-71.906
74.22,-73.238
74.46,-73.881
74.71,-73.016
74.95,-74.970
75.20,-76.715
75.44,-75.455
75.68,-76.447
75.93,-74.640
76.17,-75.821
76.42,-73.306
76.66,-70.655
76.90,-73.927
77.15,-72.314
77.39,-73.121
77.64,-73.123
77.88,-73.146
78.12,-74.340
78.37,-75.696
78.61,-74.193
78.86,-74.046
79.10,-72.036
79.35,-73.497
79.59,-73.773
79.83,-70.991
80.08,-73.335
80.32,-73.357
80.57,-73.318
80.81,-72.602
81.05,-73.865
81.30,-76.832
81.54,-73.868
81.79,-74.935
82.03,-71.826
82.28,-73.458
82.52,-69.346
82.76,-71.939
83.01,-73.555
