Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.49,-97.564
0.98,-97.815
1.46,-97.388
1.95,-96.520
2.44,-95.528
2.93,-95.619
3.42,-94.399
3.91,-94.508
4.39,-94.066
4.88,-92.242
5.37,-90.409
5.86,-87.830
6.35,-88.991
6.84,-91.469
7.32,-91.679
7.81,-90.177
8.30,-89.469
8.79,-86.516
9.28,-87.107
9.77,-86.297
10.25,-83.815
10.74,-83.879
11.23,-82.813
11.72,-83.786
12.21,-85.280
12.70,-83.099
13.18,-80.233
13.67,-80.764
14.16,-81.058
14.65,-81.210
15.14,-78.478
15.62,-78.991
16.11,-84.695
16.60,-84.699
17.09,-86.139
17.58,-84.082
18.07,-84.120
18.55,-81.255
19.04,-81.791
19.53,-80.896
20.02,-79.916
20.51,-83.001
21.00,-84.363
21.48,-84.626
21.97,-84.989
22.46,-84.428
22.95,-84.741
23.44,-82.593
23.93,-82.113
24.41,-79.874
24.90,-80.258
25.39,-79.669
25.88,-78.356
26.37,-73.880
26.86,-75.579
27.34,-75.206
27.83,-76.039
28.32,-73.424
28.81,-63.015
29.30,-70.601
29.79,-63.267
30.27,-72.495
30.76,-72.199
31.25,-69.239
31.74,-71.296
32.23,-72.835
32.71,-73.372
33.20,-72.176
33.69,-71.439
34.18,-69.889
34.67,-63.329
35.16,-68.698
35.64,-71.605
36.13,-72.725
36.62,-76.088
37.11,-74.924
37.60,-75.617
38.09,-77.328
38.57,-78.450
39.06,-76.838
39.55,-73.551
40.04,-76.339
40.53,-77.869
41.02,-78.265
41.50,-76.997
41.99,-72.749
42.48,-75.427
42.97,-73.956
43.46,-73.740
43.95,-75.120
44.43,-74.983
44.92,-75.172
45.41,-72.502
45.90,-77.813
46.39,-79.122
46.88,-77.023
47.36,-74.887
47.85,-76.495
48.34,-77.138
48.83,-76.720
49.32,-78.396
49.80,-78.066
50.29,-77.354
50.78,-76.276
51.27,-75.581
51.76,-74.006
52.25,-73.348
52.73,-74.291
53.22,-75.515
53.71,-74.711
54.20,-75.697
54.69,-76.064
55.18,-76.465
55.66,-76.871
56.15,-77.859
56.64,-78.759
57.13,-77.346
57.62,-73.693
58.11,-72.541
58.59,-68.279
59.08,-72.007
59.57,-72.845
60.06,-77.079
60.55,-79.111
61.04,-78.190
61.52,-78.467
62.01,-76.053
62.50,-77.523
62.99,-71.818
63.48,-76.661
63.96,-77.763
64.45,-76.550
64.94,-76.773
65.43,-77.599
65.92,-77.363
66.41,-76.697
66.89,-75.483
67.38,-74.510
67.87,-74.116
68.36,-74.141
68.85,-73.678
69.34,-73.712
69.82,-74.779
70.31,-76.409
70.80,-78.159
71.29,-75.890
71.78,-75.827
72.27,-75.948
72.75,-77.646
73.24,-78.778
73.73,-78.743
74.22,-78.597
74.71,-78.257
75.20,-77.291
75.68,-76.129
76.17,-79.333
76.66,-78.335
77.15,-79.623
77.64,-78.280
78.12,-79.269
78.61,-78.786
79.10,-76.963
79.59,-76.090
80.08,-75.043
80.57,-76.571
81.05,-75.265
81.54,-76.150
82.03,-76.272
82.52,-76.178
83.01,-78.821
83.50,-80.647
83.98,-79.861
84.47,-76.805
84.96,-78.417
85.45,-78.689
85.94,-78.467
86.43,-76.702
86.91,-76.883
87.40,-77.797
87.89,-77.644
88.38,-77.372
88.87,-71.411
89.36,-75.943
89.84,-75.674
90.33,-75.751
90.82,-76.264
91.31,-74.784
91.80,-74.673
92.29,-76.155
92.77,-76.815
93.26,-74.869
93.75,-69.029
94.24,-76.887
94.73,-80.105
95.21,-77.643
95.70,-77.679
96.19,-77.470
96.68,-79.222
97.17,-78.056
97.66,-80.373
98.14,-78.753
98.63,-75.906
99.12,-77.300
99.61,-77.201
100.10,-77.231
100.59,-77.636
101.07,-75.710
101.56,-74.834
102.05,-75.099
102.54,-75.906
103.03,-74.950
103.52,-73.509
104.00,-73.762
104.49,-73.990
104.98,-75.174
105.47,-75.753
105.96,-75.713
106.45,-70.439
106.93,-74.940
107.42,-72.495
107.91,-73.730
108.40,-74.436
