Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-27 19:10:06.4,0.0,25.2,96.8,24.8,16.2
2026-03-27 19:10:06.4,0.0,25.2,96.8,24.8,16.2
2026-03-27 19:10:06.5,0.0,25.2,96.8,24.8,16.2
2026-03-27 19:10:06.5,0.0,25.2,96.8,24.8,16.2
2026-03-27 19:10:06.6,0.0,25.2,96.8,24.8,16.2
2026-03-27 19:10:06.6,0.0,25.2,96.8,24.8,16.2
2026-03-27 19:10:06.7,0.0,25.2,96.8,24.7,16.2
2026-03-27 19:10:06.7,0.0,25.2,96.8,24.7,16.2
2026-03-27 19:10:06.8,0.0,25.2,96.8,24.7,16.2
2026-03-27 19:10:06.8,0.0,25.2,96.8,24.7,16.2
2026-03-27 19:10:06.9,0.0,25.2,96.8,24.7,16.2
2026-03-27 19:10:06.9,0.0,25.2,96.8,24.7,16.2
2026-03-27 19:10:07.3,0.0,25.2,96.8,24.7,16.2
2026-03-27 19:10:07.6,0.0,25.2,96.8,24.8,16.2
2026-03-27 19:10:08.0,0.0,25.2,96.8,24.8,16.2
2026-03-27 19:10:09.1,-0.0,25.2,96.8,24.8,16.3
2026-03-27 19:10:09.3,-0.0,25.2,96.8,24.8,16.3
2026-03-27 19:10:09.6,-0.0,25.2,96.8,24.8,16.3
2026-03-27 19:10:10.1,0.0,25.2,96.8,24.7,16.3
2026-03-27 19:10:11.2,0.0,25.2,96.8,24.7,16.3
2026-03-27 19:10:11.3,0.0,25.2,96.8,24.7,16.3
2026-03-27 19:10:11.6,0.0,25.2,96.8,24.7,16.3
2026-03-27 19:10:12.2,0.0,25.2,96.8,24.8,16.3
2026-03-27 19:10:13.3,-0.0,25.2,96.8,24.8,16.3
2026-03-27 19:10:13.3,-0.0,25.2,96.8,24.8,16.3
2026-03-27 19:10:13.6,-0.0,25.2,96.8,24.8,16.3
2026-03-27 19:10:14.3,0.0,25.2,96.8,24.8,16.3
2026-03-27 19:10:15.3,0.0,25.2,96.8,24.8,16.3
2026-03-27 19:10:15.4,0.0,25.2,96.8,24.8,16.3
2026-03-27 19:10:15.6,0.0,25.2,96.8,24.8,16.3
