Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.49,-95.771
0.98,-95.879
1.46,-95.595
1.95,-95.489
2.44,-93.636
2.93,-94.155
3.42,-93.603
3.91,-92.091
4.39,-92.743
4.88,-90.756
5.37,-88.383
5.86,-87.166
6.35,-89.471
6.84,-90.271
7.32,-90.674
7.81,-90.060
8.30,-88.733
8.79,-85.794
9.28,-84.940
9.77,-83.563
10.25,-83.842
10.74,-80.897
11.23,-82.443
11.72,-83.334
12.21,-83.796
12.70,-82.324
13.18,-77.952
13.67,-80.999
14.16,-80.787
14.65,-79.463
15.14,-78.071
15.62,-78.399
16.11,-84.728
16.60,-83.337
17.09,-84.881
17.58,-82.783
18.07,-82.307
18.55,-81.408
19.04,-81.356
19.53,-79.976
20.02,-79.692
20.51,-82.963
21.00,-84.119
21.48,-82.161
21.97,-83.359
22.46,-83.310
22.95,-83.363
23.44,-82.994
23.93,-80.011
24.41,-79.331
24.90,-77.551
25.39,-79.219
25.88,-75.219
26.37,-72.672
26.86,-73.366
27.34,-74.645
27.83,-75.999
28.32,-71.881
28.81,-64.054
29.30,-67.927
29.79,-60.293
30.27,-71.027
30.76,-73.322
31.25,-71.709
31.74,-74.110
32.23,-72.628
32.71,-73.656
33.20,-72.112
33.69,-70.708
34.18,-71.530
34.67,-63.451
35.16,-67.301
35.64,-70.600
36.13,-71.042
36.62,-68.855
37.11,-74.791
37.60,-75.483
38.09,-76.043
38.57,-77.506
39.06,-76.302
39.55,-72.890
40.04,-75.259
40.53,-77.221
41.02,-73.288
41.50,-74.067
41.99,-75.218
42.48,-74.151
42.97,-73.456
43.46,-73.338
43.95,-74.197
44.43,-75.297
44.92,-74.709
45.41,-71.718
45.90,-78.060
46.39,-77.192
46.88,-77.471
47.36,-78.843
47.85,-78.784
48.34,-75.530
48.83,-79.052
49.32,-75.757
49.80,-74.853
50.29,-75.702
50.78,-75.894
51.27,-74.917
51.76,-73.975
52.25,-74.208
52.73,-75.898
53.22,-74.786
53.71,-76.190
54.20,-75.475
54.69,-76.219
55.18,-77.180
55.66,-78.301
56.15,-78.457
56.64,-78.015
57.13,-77.748
57.62,-73.396
58.11,-71.719
58.59,-68.566
59.08,-68.264
59.57,-71.687
60.06,-77.683
60.55,-78.822
61.04,-79.934
61.52,-78.580
62.01,-76.095
62.50,-75.481
62.99,-72.740
63.48,-75.395
63.96,-76.342
64.45,-77.811
64.94,-78.376
65.43,-76.594
65.92,-77.998
66.41,-75.918
66.89,-75.257
67.38,-75.261
67.87,-74.447
68.36,-74.721
68.85,-73.068
69.34,-72.532
69.82,-74.704
70.31,-74.476
70.80,-78.260
71.29,-75.432
71.78,-75.054
72.27,-77.617
72.75,-77.492
73.24,-79.078
73.73,-78.264
74.22,-79.638
74.71,-79.847
75.20,-78.330
75.68,-79.339
76.17,-78.255
76.66,-79.241
77.15,-79.200
77.64,-79.184
78.12,-77.771
78.61,-78.092
79.10,-77.496
79.59,-76.392
80.08,-74.636
80.57,-76.768
81.05,-77.204
81.54,-75.906
82.03,-76.313
82.52,-76.645
83.01,-79.158
83.50,-78.875
83.98,-79.509
84.47,-75.809
84.96,-74.539
85.45,-79.272
85.94,-76.824
86.43,-77.595
86.91,-75.582
87.40,-76.586
87.89,-78.908
88.38,-76.972
88.87,-72.158
89.36,-76.729
89.84,-77.565
90.33,-74.431
90.82,-73.598
91.31,-74.830
91.80,-73.717
92.29,-74.472
92.77,-75.406
93.26,-73.503
93.75,-69.056
94.24,-76.091
94.73,-79.000
95.21,-80.271
95.70,-78.649
96.19,-78.194
96.68,-77.144
97.17,-77.003
97.66,-78.573
98.14,-78.491
98.63,-78.104
99.12,-76.531
99.61,-77.769
100.10,-77.490
100.59,-76.514
101.07,-76.779
101.56,-74.631
102.05,-76.095
102.54,-76.270
103.03,-75.137
103.52,-74.911
104.00,-75.208
104.49,-75.361
104.98,-75.049
105.47,-73.362
105.96,-74.138
106.45,-71.712
106.93,-75.153
107.42,-74.748
107.91,-74.861
108.40,-74.441
108.89,-74.925
109.38,-73.004
109.86,-74.431
110.35,-73.726
110.84,-73.453
111.33,-74.002
111.82,-71.471
112.30,-72.315
112.79,-72.295
113.28,-73.178
113.77,-70.545
114.26,-71.987
114.75,-73.859
115.23,-71.775
115.72,-73.340
116.21,-73.599
116.70,-70.757
117.19,-72.273
117.68,-71.628
118.16,-70.166
118.65,-66.470
119.14,-64.465
119.63,-57.617
120.12,-47.232
120.61,-61.898
121.09,-66.250
121.58,-67.801
122.07,-67.180
122.56,-66.981
123.05,-72.578
123.54,-74.206
124.02,-73.794
124.51,-75.478
125.00,-74.870
125.49,-74.763
125.98,-74.413
126.46,-74.320
126.95,-74.138
127.44,-74.737
127.93,-68.012
128.42,-73.261
128.91,-72.965
129.39,-72.157
129.88,-71.582
130.37,-69.844
130.86,-69.069
131.35,-66.946
131.84,-65.699
132.32,-61.989
132.81,-54.008
133.30,-49.890
133.79,-57.489
134.28,-64.268
134.77,-67.277
135.25,-70.081
135.74,-70.813
136.23,-71.981
136.72,-72.109
137.21,-72.513
137.70,-71.994
138.18,-73.113
138.67,-73.567
139.16,-72.440
139.65,-71.617
140.14,-72.600
140.62,-71.894
141.11,-72.118
141.60,-70.861
142.09,-70.944
142.58,-73.141
143.07,-75.014
143.55,-73.637
144.04,-72.373
144.53,-70.215
145.02,-71.309
145.51,-72.065
146.00,-70.849
146.48,-70.099
146.97,-69.905
147.46,-68.101
147.95,-68.744
148.44,-62.672
148.93,-68.099
149.41,-66.644
149.90,-67.267
150.39,-65.984
150.88,-65.186
151.37,-65.613
151.86,-66.389
152.34,-68.509
152.83,-65.312
153.32,-66.208
153.81,-66.246
154.30,-64.868
154.79,-68.305
155.27,-67.923
155.76,-69.320
156.25,-69.868
156.74,-67.604
157.23,-71.246
157.71,-72.712
158.20,-71.874
158.69,-70.519
159.18,-70.454
159.67,-59.786
160.16,-66.658
160.64,-69.952
161.13,-67.910
161.62,-68.822
162.11,-69.601
162.60,-70.199
163.09,-70.756
163.57,-67.897
164.06,-68.473
164.55,-69.355
165.04,-70.275
165.53,-69.777
166.02,-70.226
166.50,-67.606
166.99,-70.391
167.48,-69.002
167.97,-70.049
168.46,-71.141
168.95,-71.094
169.43,-72.635
169.92,-74.431
170.41,-71.660
170.90,-72.205
171.39,-71.156
171.88,-73.435
172.36,-72.417
172.85,-70.267
173.34,-69.131
173.83,-72.151
174.32,-73.776
174.80,-74.161
175.29,-72.367
175.78,-74.550
176.27,-74.966
176.76,-73.024
177.25,-72.614
177.73,-71.573
178.22,-72.618
178.71,-71.825
179.20,-72.296
179.69,-70.888
180.18,-71.406
180.66,-74.212
181.15,-73.157
181.64,-74.872
182.13,-74.163
182.62,-76.537
183.11,-75.708
183.59,-74.231
184.08,-72.726
184.57,-73.222
185.06,-71.858
185.55,-70.746
186.04,-69.946
186.52,-68.607
187.01,-69.805
187.50,-71.532
187.99,-71.247
188.48,-70.515
188.96,-71.291
189.45,-70.084
189.94,-72.135
190.43,-71.618
190.92,-73.071
191.41,-73.114
191.89,-72.339
192.38,-74.275
192.87,-73.343
193.36,-75.117
193.85,-77.464
194.34,-76.820
194.82,-77.865
195.31,-76.108
195.80,-75.143
196.29,-74.722
196.78,-75.405
197.27,-76.353
197.75,-76.454
198.24,-77.036
198.73,-75.431
199.22,-75.509
199.71,-72.813
200.20,-76.180
200.68,-77.135
201.17,-75.761
201.66,-77.350
202.15,-78.916
202.64,-77.560
203.12,-76.281
203.61,-75.529
204.10,-75.754
204.59,-74.776
205.08,-73.443
205.57,-73.940
206.05,-77.128
206.54,-75.678
207.03,-73.966
207.52,-71.374
208.01,-61.139
208.50,-74.872
208.98,-76.566
209.47,-75.228
209.96,-75.454
210.45,-75.695
210.94,-76.714
211.43,-76.426
211.91,-75.335
212.40,-74.596
212.89,-72.979
213.38,-71.951
213.87,-75.878
214.36,-74.707
214.84,-73.930
215.33,-76.205
215.82,-77.081
216.31,-76.830
216.80,-78.293
217.29,-79.970
217.77,-79.919
218.26,-78.849
218.75,-77.962
219.24,-78.332
219.73,-77.356
220.21,-76.569
220.70,-76.221
221.19,-75.640
221.68,-75.506
222.17,-76.430
222.66,-76.520
223.14,-75.543
223.63,-75.206
224.12,-76.566
224.61,-77.806
225.10,-78.052
225.59,-76.377
226.07,-75.800
226.56,-72.573
227.05,-77.030
227.54,-77.190
228.03,-80.351
228.52,-79.669
229.00,-77.717
229.49,-77.807
229.98,-76.288
230.47,-77.294
230.96,-77.061
231.45,-75.307
231.93,-77.206
232.42,-77.184
232.91,-76.732
233.40,-76.130
233.89,-78.338
234.38,-77.703
234.86,-78.435
235.35,-77.239
