Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-27 19:15:11.3,-0.0,25.2,96.8,24.8,16.1
2026-03-27 19:15:11.5,-0.0,25.2,96.8,24.8,16.1
2026-03-27 19:15:11.6,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:12.1,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:12.6,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:13.3,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:13.6,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:13.6,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:14.1,-0.0,25.2,96.8,24.7,16.1
2026-03-27 19:15:14.7,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:15.3,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:15.6,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:15.7,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:16.1,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:16.8,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:17.3,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:17.6,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:17.8,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:18.1,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:18.9,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:19.3,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:19.6,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:19.9,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:20.1,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:21.0,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:21.3,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:21.6,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:22.0,-0.0,25.2,96.8,24.8,16.1
2026-03-27 19:15:22.1,-0.0,25.2,96.8,24.8,16.1
2026-03-27 19:15:23.1,-0.0,25.2,96.8,24.6,16.1
2026-03-27 19:15:23.3,-0.0,25.2,96.8,24.6,16.1
2026-03-27 19:15:23.6,-0.0,25.2,96.8,24.6,16.1
2026-03-27 19:15:24.1,-0.0,25.2,96.8,24.7,16.1
2026-03-27 19:15:24.2,-0.0,25.2,96.8,24.7,16.1
2026-03-27 19:15:25.2,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:25.3,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:25.6,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:26.1,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:26.3,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:27.3,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:27.4,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:27.6,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:28.1,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:28.4,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:29.3,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:29.4,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:29.4,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:29.6,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:30.1,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:30.5,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:31.3,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:31.4,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:31.5,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:31.6,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:31.8,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:31.9,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:31.9,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:32.1,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:32.6,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:33.3,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:33.4,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:33.6,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:33.6,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:34.1,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:34.7,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:35.3,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:35.4,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:35.6,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:35.7,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:36.1,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:36.8,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:37.3,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:37.4,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:37.6,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:37.8,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:38.4,-0.0,25.2,96.8,24.7,16.0
2026-03-27 19:15:38.9,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:39.4,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:39.5,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:39.9,-0.0,25.2,96.8,24.8,16.0
2026-03-27 19:15:40.4,-0.0,25.2,96.8,24.8,16.1
