Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-27 19:18:17.6,0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:17.9,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:18.1,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:18.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:19.0,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:19.3,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:19.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:19.6,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:20.0,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:20.1,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:20.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:21.1,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:21.3,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:21.4,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:21.6,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:22.1,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:22.2,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:22.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:23.2,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:23.3,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:23.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:23.6,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:24.1,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:24.3,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:24.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:25.3,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:25.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:25.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:25.6,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:26.1,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:26.4,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:26.4,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:27.3,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:27.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:27.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:27.6,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:28.1,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:28.4,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:28.5,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:29.3,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:29.4,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:29.5,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:29.6,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:30.1,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:30.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:30.6,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:31.3,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:31.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:31.6,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:31.6,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:31.7,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:31.8,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:31.8,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:32.1,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:32.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:32.7,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:33.3,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:33.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:33.6,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:33.7,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:34.1,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:34.4,0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:34.8,0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:35.3,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:35.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:35.6,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:35.8,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:36.1,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:36.4,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:36.9,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:37.3,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:37.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:37.6,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:37.9,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:38.1,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:38.4,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:39.0,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:39.3,-0.0,25.2,96.8,24.8,17.4
2026-03-27 19:18:39.4,-0.0,25.2,96.8,24.7,17.4
2026-03-27 19:18:39.6,-0.0,25.2,96.8,24.7,17.4
