Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.24,-100.069
0.49,-100.047
0.73,-100.190
0.98,-99.886
1.22,-99.575
1.46,-99.826
1.71,-99.650
1.95,-98.671
2.20,-97.711
2.44,-98.059
2.69,-98.573
2.93,-97.594
3.17,-96.448
3.42,-97.575
3.66,-95.714
3.91,-95.895
4.15,-97.664
4.39,-95.142
4.64,-95.843
4.88,-95.243
5.13,-95.733
5.37,-93.164
5.62,-92.166
5.86,-90.629
6.10,-91.096
6.35,-93.209
6.59,-92.388
6.84,-94.763
7.08,-95.537
7.32,-94.417
7.57,-94.830
7.81,-93.931
8.06,-93.650
8.30,-93.768
8.54,-93.170
8.79,-91.841
9.03,-91.133
9.28,-90.340
9.52,-88.923
9.77,-87.072
10.01,-87.740
10.25,-87.009
10.50,-88.629
10.74,-85.889
10.99,-86.321
11.23,-85.876
11.47,-87.068
11.72,-90.742
11.96,-86.529
12.21,-89.165
12.45,-91.039
12.70,-89.817
12.94,-80.286
13.18,-82.453
13.43,-83.299
13.67,-83.812
13.92,-83.808
14.16,-84.128
14.40,-85.064
14.65,-86.992
14.89,-81.075
15.14,-80.410
15.38,-83.498
15.62,-79.542
15.87,-84.066
16.11,-85.541
16.36,-87.956
16.60,-88.370
16.85,-87.763
17.09,-89.464
17.33,-88.842
17.58,-84.382
17.82,-86.188
18.07,-86.161
18.31,-87.221
18.55,-84.663
18.80,-86.973
19.04,-87.352
19.29,-86.980
19.53,-83.874
19.78,-84.198
20.02,-83.179
20.26,-84.333
20.51,-85.104
20.75,-85.758
21.00,-87.376
21.24,-84.943
21.48,-86.645
21.73,-86.754
21.97,-87.672
22.22,-85.303
22.46,-86.203
22.71,-87.502
22.95,-86.625
23.19,-85.467
23.44,-86.541
23.68,-87.462
23.93,-83.238
24.17,-84.385
24.41,-84.365
24.66,-84.167
24.90,-84.055
25.15,-82.683
25.39,-80.642
25.63,-83.892
25.88,-80.763
26.12,-76.545
26.37,-75.161
26.61,-75.182
26.86,-77.334
27.10,-77.125
27.34,-78.596
27.59,-77.937
27.83,-76.733
28.08,-78.941
28.32,-76.985
28.56,-68.780
28.81,-63.227
29.05,-73.816
29.30,-73.115
29.54,-64.480
29.79,-66.873
30.03,-73.890
30.27,-75.638
30.52,-77.230
30.76,-76.782
31.01,-80.151
31.25,-79.217
31.49,-76.492
31.74,-79.657
31.98,-79.767
32.23,-79.851
32.47,-72.122
32.71,-76.328
32.96,-76.259
33.20,-76.020
33.45,-76.055
33.69,-75.562
33.94,-72.144
34.18,-73.893
34.42,-69.053
34.67,-63.758
34.91,-71.876
35.16,-69.534
35.40,-75.846
35.64,-75.653
35.89,-74.510
36.13,-75.204
36.38,-74.872
36.62,-72.650
36.87,-74.044
37.11,-79.093
37.35,-78.675
37.60,-79.382
37.84,-80.509
38.09,-79.785
38.33,-76.704
38.57,-78.269
38.82,-75.884
39.06,-80.708
39.31,-79.569
39.55,-76.073
39.79,-75.799
40.04,-79.984
40.28,-78.496
40.53,-73.154
40.77,-79.036
41.02,-76.536
41.26,-77.440
41.50,-78.309
41.75,-78.565
41.99,-78.680
42.24,-78.160
42.48,-76.060
42.72,-75.024
42.97,-80.390
43.21,-77.345
43.46,-75.649
43.70,-80.267
43.95,-79.582
44.19,-77.977
44.43,-77.416
44.68,-75.637
44.92,-74.637
45.17,-78.151
45.41,-76.192
45.65,-73.129
45.90,-81.584
46.14,-79.664
46.39,-83.174
46.63,-83.024
46.88,-79.115
47.12,-71.546
47.36,-80.988
47.61,-81.216
47.85,-79.871
48.10,-81.123
48.34,-80.140
48.58,-83.325
48.83,-79.675
49.07,-80.743
49.32,-80.756
49.56,-80.116
49.80,-79.405
50.05,-81.124
50.29,-77.416
50.54,-79.011
50.78,-78.943
51.03,-79.301
51.27,-78.341
51.51,-77.030
51.76,-76.042
52.00,-77.454
52.25,-78.436
52.49,-75.647
52.73,-77.510
52.98,-75.822
53.22,-75.503
53.47,-77.775
53.71,-79.734
53.96,-78.185
54.20,-78.690
54.44,-79.723
54.69,-79.398
54.93,-78.021
55.18,-77.936
55.42,-78.791
55.66,-78.552
55.91,-80.351
56.15,-78.426
56.40,-78.676
56.64,-80.818
56.88,-80.178
57.13,-79.828
57.37,-77.382
57.62,-76.742
57.86,-72.630
58.11,-74.756
58.35,-74.652
58.59,-70.068
58.84,-76.184
59.08,-72.213
59.33,-68.089
59.57,-76.683
59.81,-80.999
60.06,-83.687
60.30,-81.340
60.55,-81.499
60.79,-82.206
61.04,-83.761
61.28,-82.880
61.52,-83.074
61.77,-78.718
62.01,-82.961
62.26,-78.319
62.50,-78.351
62.74,-72.877
62.99,-77.986
63.23,-80.091
63.48,-78.582
63.72,-76.823
63.96,-77.306
64.21,-81.268
64.45,-79.703
64.70,-80.141
64.94,-79.045
65.19,-80.461
65.43,-81.355
65.67,-79.235
65.92,-79.840
66.16,-80.095
66.41,-79.103
66.65,-79.490
66.89,-77.160
67.14,-74.294
67.38,-78.605
67.63,-78.135
67.87,-80.039
68.12,-75.973
68.36,-78.257
68.60,-77.014
68.85,-77.985
69.09,-78.475
69.34,-73.647
69.58,-78.364
69.82,-76.351
70.07,-79.374
70.31,-75.222
70.56,-78.822
70.80,-78.252
71.04,-77.915
71.29,-79.614
71.53,-78.324
71.78,-78.790
72.02,-79.661
72.27,-78.816
72.51,-82.099
72.75,-78.653
73.00,-80.606
73.24,-79.646
73.49,-81.155
73.73,-81.163
73.97,-80.379
74.22,-78.876
74.46,-81.738
74.71,-82.924
74.95,-79.069
75.20,-80.163
75.44,-82.815
75.68,-80.866
75.93,-78.261
76.17,-78.770
76.42,-81.044
76.66,-80.524
76.90,-79.895
77.15,-80.650
77.39,-79.604
77.64,-79.115
77.88,-80.520
78.12,-80.413
78.37,-80.858
78.61,-82.244
78.86,-80.069
79.10,-78.434
79.35,-77.440
79.59,-79.217
79.83,-73.012
80.08,-75.857
80.32,-78.898
80.57,-77.386
80.81,-79.144
81.05,-78.643
81.30,-77.221
81.54,-78.500
81.79,-76.628
82.03,-76.210
82.28,-76.069
82.52,-80.536
82.76,-78.838
83.01,-79.630
83.25,-79.100
83.50,-79.608
83.74,-82.120
83.98,-80.949
84.23,-81.913
84.47,-79.988
84.72,-80.393
84.96,-81.189
85.21,-80.514
85.45,-80.867
85.69,-81.498
85.94,-78.569
86.18,-79.072
86.43,-76.384
86.67,-78.176
86.91,-81.775
87.16,-79.215
87.40,-82.586
87.65,-80.598
87.89,-78.831
88.13,-78.018
88.38,-78.631
88.62,-80.814
88.87,-71.811
89.11,-77.534
89.36,-78.333
89.60,-77.606
89.84,-79.676
90.09,-76.839
90.33,-77.453
90.58,-78.865
90.82,-77.478
91.06,-76.983
91.31,-77.283
91.55,-76.002
91.80,-77.394
92.04,-79.168
92.29,-79.408
92.53,-77.634
92.77,-76.529
93.02,-76.106
93.26,-74.860
93.51,-73.872
93.75,-67.107
93.99,-78.144
94.24,-77.954
94.48,-79.179
94.73,-79.867
94.97,-78.925
95.21,-76.630
95.46,-78.662
95.70,-82.508
95.95,-83.226
96.19,-80.151
96.44,-81.503
96.68,-78.905
96.92,-77.760
97.17,-78.196
97.41,-77.587
97.66,-78.514
97.90,-81.676
98.14,-79.246
98.39,-79.275
