Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.24,-101.281
0.49,-101.228
0.73,-101.385
0.98,-100.984
1.22,-101.156
1.46,-100.913
1.71,-100.769
1.95,-99.031
2.20,-99.655
2.44,-100.050
2.69,-98.474
2.93,-98.065
3.17,-98.327
3.42,-97.852
3.66,-98.043
3.91,-96.362
4.15,-97.759
4.39,-97.110
4.64,-97.043
4.88,-96.441
5.13,-95.648
5.37,-90.322
5.62,-92.731
5.86,-91.985
6.10,-92.382
6.35,-91.592
6.59,-93.956
6.84,-95.461
7.08,-93.252
7.32,-94.020
7.57,-95.361
7.81,-92.858
8.06,-94.988
8.30,-94.074
8.54,-92.275
8.79,-93.486
9.03,-90.104
9.28,-89.637
9.52,-87.624
9.77,-88.914
10.01,-87.070
10.25,-85.656
10.50,-86.959
10.74,-84.581
10.99,-85.969
11.23,-84.667
11.47,-86.052
11.72,-88.808
11.96,-88.075
12.21,-91.469
12.45,-89.400
12.70,-88.986
12.94,-80.740
13.18,-82.841
13.43,-85.458
13.67,-83.059
13.92,-84.530
14.16,-83.515
14.40,-84.818
14.65,-82.366
14.89,-78.981
15.14,-80.427
15.38,-83.531
15.62,-79.549
15.87,-85.234
16.11,-88.196
16.36,-86.969
16.60,-88.027
16.85,-88.935
17.09,-88.070
17.33,-90.347
17.58,-84.621
17.82,-84.295
18.07,-87.031
18.31,-86.788
18.55,-86.900
18.80,-82.076
19.04,-85.123
19.29,-83.083
19.53,-84.177
19.78,-83.433
20.02,-81.737
20.26,-86.076
20.51,-85.411
20.75,-87.519
21.00,-86.427
21.24,-87.151
21.48,-87.295
21.73,-88.436
21.97,-86.870
22.22,-87.681
22.46,-87.431
22.71,-86.657
22.95,-87.943
23.19,-87.227
23.44,-87.842
23.68,-85.699
23.93,-85.816
24.17,-86.348
24.41,-84.299
24.66,-84.778
24.90,-82.383
25.15,-81.536
25.39,-82.117
25.63,-81.726
25.88,-81.524
26.12,-76.412
26.37,-76.736
26.61,-75.353
26.86,-76.696
27.10,-77.911
27.34,-77.889
27.59,-78.187
27.83,-77.075
28.08,-77.572
28.32,-76.016
28.56,-70.379
28.81,-63.437
29.05,-76.288
29.30,-74.279
29.54,-64.645
29.79,-67.645
30.03,-73.445
30.27,-76.722
30.52,-76.157
30.76,-78.312
31.01,-75.370
31.25,-72.193
31.49,-72.507
31.74,-78.445
31.98,-77.256
32.23,-79.115
32.47,-70.642
32.71,-76.297
32.96,-76.636
33.20,-73.947
33.45,-73.014
33.69,-73.958
33.94,-74.186
34.18,-71.854
34.42,-69.327
34.67,-64.173
34.91,-70.964
35.16,-71.282
35.40,-72.431
35.64,-77.322
35.89,-73.727
36.13,-73.040
36.38,-76.717
36.62,-77.423
36.87,-77.402
37.11,-78.811
37.35,-78.576
37.60,-79.330
37.84,-80.976
38.09,-80.203
38.33,-80.504
38.57,-82.752
38.82,-78.635
39.06,-77.762
39.31,-78.235
39.55,-75.452
39.79,-76.559
40.04,-78.719
40.28,-79.408
40.53,-81.096
40.77,-79.558
41.02,-82.542
41.26,-82.588
41.50,-79.222
41.75,-79.154
41.99,-78.835
42.24,-78.154
42.48,-76.480
42.72,-73.554
42.97,-75.267
43.21,-73.557
43.46,-75.522
43.70,-76.734
43.95,-78.075
44.19,-79.972
44.43,-78.587
44.68,-77.044
44.92,-76.641
45.17,-75.221
45.41,-73.841
45.65,-79.501
45.90,-83.181
46.14,-81.563
46.39,-80.595
46.63,-81.250
46.88,-81.021
47.12,-72.388
47.36,-79.459
47.61,-79.685
47.85,-80.878
48.10,-80.165
48.34,-80.114
48.58,-78.751
48.83,-79.151
49.07,-81.220
49.32,-80.369
49.56,-77.204
49.80,-80.015
50.05,-79.691
50.29,-77.092
50.54,-77.588
50.78,-76.762
51.03,-74.489
51.27,-76.000
51.51,-77.401
51.76,-76.060
52.00,-75.801
52.25,-77.717
52.49,-78.478
52.73,-77.574
52.98,-76.886
53.22,-78.763
53.47,-79.331
53.71,-78.201
53.96,-77.848
54.20,-75.348
54.44,-75.751
54.69,-77.502
54.93,-77.480
55.18,-80.065
55.42,-81.707
55.66,-80.540
55.91,-80.200
56.15,-80.031
56.40,-78.213
56.64,-78.364
56.88,-79.224
57.13,-80.461
57.37,-76.156
57.62,-73.644
57.86,-73.327
58.11,-73.533
58.35,-71.567
58.59,-70.423
58.84,-74.620
59.08,-74.382
59.33,-69.563
59.57,-76.696
59.81,-79.456
60.06,-80.014
60.30,-82.186
60.55,-84.360
60.79,-82.170
61.04,-81.832
61.28,-82.151
61.52,-82.597
61.77,-81.570
62.01,-81.005
62.26,-78.209
62.50,-78.513
62.74,-70.202
62.99,-79.033
63.23,-80.660
63.48,-77.360
63.72,-77.365
63.96,-79.980
64.21,-79.893
64.45,-79.627
64.70,-78.711
64.94,-79.232
65.19,-78.690
65.43,-79.128
65.67,-76.770
65.92,-80.722
66.16,-79.289
66.41,-80.242
66.65,-76.780
66.89,-76.647
67.14,-78.214
67.38,-77.975
67.63,-77.148
67.87,-74.383
68.12,-75.221
68.36,-73.917
68.60,-77.216
68.85,-73.278
69.09,-76.514
69.34,-74.853
69.58,-73.473
69.82,-78.488
70.07,-79.032
70.31,-74.749
70.56,-79.029
70.80,-77.730
71.04,-77.585
71.29,-78.521
71.53,-78.658
71.78,-77.727
72.02,-78.138
72.27,-78.000
72.51,-78.629
72.75,-78.438
73.00,-78.848
73.24,-80.630
73.49,-80.164
73.73,-79.235
73.97,-79.203
74.22,-79.981
74.46,-78.901
74.71,-79.697
74.95,-77.710
75.20,-79.731
75.44,-76.563
75.68,-79.565
75.93,-77.125
76.17,-78.341
76.42,-80.126
76.66,-81.840
76.90,-79.969
77.15,-81.575
77.39,-79.563
77.64,-80.665
77.88,-81.330
78.12,-78.885
78.37,-79.075
78.61,-80.682
78.86,-79.678
79.10,-77.471
79.35,-78.733
79.59,-77.759
79.83,-71.648
80.08,-77.153
80.32,-76.799
80.57,-77.978
