Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.98,-81.925
1.95,-79.682
2.93,-77.222
3.91,-76.943
4.88,-74.699
5.86,-73.720
6.84,-73.704
7.81,-72.078
8.79,-73.044
9.77,-72.096
10.74,-71.561
11.72,-70.935
12.70,-70.831
13.67,-71.021
14.65,-70.611
15.62,-69.221
16.60,-69.680
17.58,-70.842
18.55,-69.890
19.53,-70.401
20.51,-70.791
21.48,-69.744
22.46,-69.964
23.44,-70.753
24.41,-68.749
25.39,-69.950
26.37,-69.310
27.34,-68.435
28.32,-66.223
29.30,-63.295
30.27,-66.238
31.25,-67.814
32.23,-65.163
33.20,-67.972
34.18,-65.240
35.16,-63.571
36.13,-67.353
37.11,-68.870
38.09,-69.590
39.06,-69.355
40.04,-68.531
41.02,-68.070
41.99,-68.735
42.97,-67.712
43.95,-66.658
44.92,-67.239
45.90,-67.849
46.88,-68.476
47.85,-68.485
48.83,-67.765
49.80,-68.161
50.78,-66.936
51.76,-68.126
52.73,-67.552
53.71,-68.745
54.69,-68.335
55.66,-68.153
56.64,-67.691
57.62,-68.007
58.59,-67.692
59.57,-66.800
60.55,-67.060
61.52,-66.759
62.50,-67.206
63.48,-68.442
64.45,-67.547
65.43,-68.045
66.41,-67.034
67.38,-68.017
68.36,-67.995
69.34,-67.447
70.31,-67.964
71.29,-67.780
72.27,-66.972
73.24,-68.168
74.22,-67.842
75.20,-68.355
76.17,-67.923
77.15,-68.194
78.12,-67.301
79.10,-67.845
80.08,-66.564
81.05,-67.708
82.03,-68.106
83.01,-67.556
83.98,-67.278
84.96,-69.216
85.94,-68.003
86.91,-67.590
87.89,-67.018
88.87,-67.336
89.84,-68.655
90.82,-67.002
91.80,-67.323
92.77,-68.093
93.75,-66.960
94.73,-67.768
95.70,-68.403
96.68,-67.847
97.66,-69.144
98.63,-68.800
99.61,-68.558
100.59,-67.749
101.56,-68.759
102.54,-67.654
103.52,-68.778
104.49,-67.822
105.47,-68.051
106.45,-67.647
107.42,-67.358
108.40,-66.962
109.38,-67.018
110.35,-67.466
111.33,-67.764
112.30,-66.937
113.28,-68.208
114.26,-68.624
115.23,-67.536
116.21,-67.712
117.19,-66.706
118.16,-69.419
119.14,-68.639
120.12,-67.024
121.09,-68.334
122.07,-66.741
123.05,-66.926
124.02,-67.817
125.00,-68.829
125.98,-67.669
126.95,-68.173
127.93,-68.708
128.91,-67.569
129.88,-67.330
130.86,-67.436
131.84,-68.992
132.81,-68.034
133.79,-68.271
134.77,-68.452
135.74,-67.673
136.72,-66.774
137.70,-68.148
138.67,-66.730
139.65,-68.199
140.62,-67.083
141.60,-68.078
142.58,-68.370
143.55,-66.976
144.53,-67.905
145.51,-68.297
146.48,-67.535
147.46,-67.721
148.44,-67.749
149.41,-68.140
150.39,-67.178
151.37,-67.709
152.34,-67.676
153.32,-66.710
154.30,-66.974
155.27,-67.843
156.25,-68.440
157.23,-66.987
158.20,-66.964
159.18,-66.703
160.16,-68.064
161.13,-66.415
162.11,-67.525
163.09,-68.268
164.06,-67.110
165.04,-67.147
166.02,-67.547
166.99,-66.629
167.97,-66.614
168.95,-67.386
169.92,-66.338
170.90,-68.048
171.88,-66.167
172.85,-67.090
173.83,-66.636
174.80,-67.833
175.78,-67.282
176.76,-67.053
177.73,-66.996
178.71,-66.730
179.69,-66.248
180.66,-66.403
181.64,-66.846
182.62,-66.453
183.59,-66.599
184.57,-65.946
185.55,-65.530
186.52,-66.626
187.50,-66.137
188.48,-67.056
189.45,-66.249
190.43,-65.923
191.41,-66.253
192.38,-65.884
193.36,-65.864
194.34,-66.403
195.31,-66.342
196.29,-65.687
197.27,-64.189
198.24,-64.923
199.22,-65.114
200.20,-64.321
201.17,-64.224
202.15,-63.905
203.12,-64.636
204.10,-64.720
205.08,-65.457
206.05,-64.686
207.03,-65.538
208.01,-65.478
208.98,-63.910
209.96,-65.196
210.94,-64.580
211.91,-64.940
212.89,-64.959
213.87,-64.483
214.84,-66.499
215.82,-65.002
216.80,-63.733
217.77,-64.279
218.75,-64.764
219.73,-63.752
220.70,-63.732
221.68,-64.224
222.66,-63.617
223.63,-64.065
224.61,-63.832
225.59,-63.722
226.56,-64.005
227.54,-63.153
228.52,-63.970
229.49,-63.003
230.47,-63.262
231.45,-62.729
232.42,-62.579
233.40,-63.196
234.38,-62.705
235.35,-62.488
236.33,-62.394
237.30,-62.058
238.28,-62.683
239.26,-62.166
240.23,-62.074
241.21,-62.366
242.19,-61.770
243.16,-61.968
244.14,-61.538
245.12,-60.829
246.09,-61.991
247.07,-62.350
248.05,-60.917
249.02,-61.575
250.00,-61.058
250.98,-60.077
251.95,-60.094
252.93,-60.144
253.91,-59.800
254.88,-60.306
255.86,-59.035
256.84,-59.255
257.81,-58.408
258.79,-59.197
259.77,-59.709
260.74,-58.553
261.72,-58.520
262.70,-58.288
263.67,-57.836
264.65,-57.969
265.62,-58.484
266.60,-59.312
267.58,-57.620
268.55,-58.211
269.53,-58.611
270.51,-58.015
271.48,-57.456
272.46,-57.526
273.44,-57.171
274.41,-58.056
275.39,-57.693
276.37,-57.334
277.34,-58.146
278.32,-57.677
279.30,-57.077
280.27,-57.084
281.25,-56.894
282.23,-57.892
283.20,-57.646
284.18,-58.927
285.16,-59.311
286.13,-57.906
287.11,-58.230
288.09,-59.068
289.06,-57.519
290.04,-58.603
291.02,-59.082
291.99,-59.727
292.97,-59.440
293.95,-60.131
294.92,-59.686
295.90,-60.965
296.88,-59.940
297.85,-60.369
298.83,-60.952
299.80,-61.909
300.78,-61.162
301.76,-61.763
302.73,-60.287
303.71,-61.086
304.69,-61.528
305.66,-62.938
306.64,-61.597
307.62,-62.096
308.59,-62.025
309.57,-62.670
310.55,-62.829
311.52,-63.112
312.50,-62.638
313.48,-63.269
314.45,-61.904
315.43,-62.268
316.41,-64.564
317.38,-62.122
318.36,-63.665
319.34,-64.080
320.31,-64.117
321.29,-64.318
322.27,-63.447
323.24,-64.705
324.22,-63.876
325.20,-64.464
326.17,-65.279
327.15,-64.332
328.12,-64.763
329.10,-63.976
330.08,-65.762
331.05,-65.047
332.03,-65.406
333.01,-65.389
333.98,-65.349
334.96,-64.581
335.94,-64.224
336.91,-64.371
337.89,-64.488
338.87,-65.145
339.84,-65.051
340.82,-65.301
341.80,-66.768
342.77,-65.306
343.75,-65.071
344.73,-67.100
345.70,-66.196
346.68,-65.769
347.66,-66.068
348.63,-66.755
349.61,-66.964
350.59,-67.075
351.56,-66.608
352.54,-66.543
353.52,-67.301
354.49,-67.284
355.47,-66.820
356.45,-66.419
357.42,-66.634
358.40,-67.011
359.38,-66.753
360.35,-66.422
361.33,-67.908
362.30,-66.753
363.28,-67.427
364.26,-66.825
365.23,-66.783
366.21,-66.479
367.19,-65.746
368.16,-67.605
369.14,-67.281
370.12,-67.429
371.09,-67.393
372.07,-67.034
373.05,-65.999
374.02,-66.617
375.00,-68.048
375.98,-66.951
376.95,-66.187
377.93,-66.428
378.91,-67.101
379.88,-66.056
380.86,-67.277
381.84,-67.991
382.81,-66.911
383.79,-67.365
384.77,-67.030
385.74,-68.105
386.72,-68.116
387.70,-68.217
388.67,-67.764
389.65,-68.300
390.62,-67.487
391.60,-66.800
392.58,-67.685
393.55,-67.673
394.53,-67.588
395.51,-67.870
396.48,-67.079
397.46,-67.374
398.44,-65.679
399.41,-66.227
400.39,-66.785
401.37,-67.680
402.34,-67.173
403.32,-67.538
404.30,-67.386
405.27,-66.724
406.25,-67.057
407.23,-69.268
408.20,-68.426
409.18,-67.335
410.16,-67.943
411.13,-67.210
412.11,-67.666
413.09,-66.843
414.06,-67.052
415.04,-66.817
416.02,-67.179
416.99,-67.742
417.97,-68.716
418.95,-67.135
419.92,-66.800
420.90,-66.025
421.88,-67.857
422.85,-67.099
423.83,-67.655
424.80,-67.034
425.78,-67.419
426.76,-66.825
427.73,-66.522
428.71,-66.578
429.69,-66.976
430.66,-66.316
431.64,-66.677
432.62,-67.137
433.59,-66.802
434.57,-66.569
435.55,-66.397
436.52,-65.754
437.50,-66.334
438.48,-65.695
439.45,-66.004
440.43,-67.786
441.41,-65.410
442.38,-65.535
443.36,-65.846
444.34,-64.816
445.31,-66.243
446.29,-66.956
447.27,-66.084
448.24,-65.568
449.22,-66.498
450.20,-65.826
451.17,-66.542
452.15,-66.089
453.12,-66.180
454.10,-65.429
455.08,-66.003
456.05,-65.919
457.03,-64.531
458.01,-66.433
458.98,-65.156
459.96,-65.140
460.94,-64.626
461.91,-65.981
462.89,-65.265
463.87,-66.829
464.84,-65.012
465.82,-63.897
466.80,-65.463
467.77,-65.079
468.75,-64.756
469.73,-65.405
470.70,-64.396
471.68,-64.585
472.66,-65.520
473.63,-64.514
474.61,-64.663
475.59,-64.072
476.56,-62.967
477.54,-62.991
478.52,-63.254
479.49,-63.698
480.47,-63.395
481.45,-64.064
482.42,-63.192
483.40,-62.987
484.38,-62.443
485.35,-62.069
486.33,-62.765
487.30,-62.533
488.28,-62.874
489.26,-62.406
490.23,-62.316
491.21,-63.795
492.19,-62.147
493.16,-62.180
494.14,-62.221
495.12,-59.706
496.09,-60.760
497.07,-60.777
498.05,-61.323
499.02,-61.021
500.00,-61.102
500.98,-59.972
501.95,-59.894
502.93,-58.976
503.91,-60.132
504.88,-58.706
505.86,-59.486
506.84,-58.973
507.81,-58.523
508.79,-57.857
509.77,-59.353
510.74,-58.705
511.72,-57.992
512.70,-58.700
513.67,-57.235
514.65,-57.855
515.62,-55.912
516.60,-56.192
517.58,-56.414
518.55,-56.980
519.53,-55.480
520.51,-55.281
521.48,-56.517
522.46,-55.559
523.44,-55.640
524.41,-54.796
525.39,-54.135
526.37,-53.496
527.34,-55.279
528.32,-54.182
529.30,-55.367
530.27,-54.254
531.25,-54.612
532.23,-55.028
533.20,-55.297
534.18,-55.498
535.16,-56.084
536.13,-55.598
537.11,-56.114
538.09,-56.008
539.06,-55.491
540.04,-55.196
541.02,-57.016
541.99,-57.362
542.97,-58.341
543.95,-57.372
544.92,-58.879
545.90,-59.699
546.88,-58.890
547.85,-58.352
548.83,-57.504
549.80,-59.668
550.78,-59.156
551.76,-59.087
552.73,-59.777
553.71,-59.000
554.69,-60.799
555.66,-59.454
556.64,-61.001
557.62,-60.805
558.59,-60.827
559.57,-62.124
560.55,-61.559
561.52,-61.808
562.50,-61.304
563.48,-62.222
564.45,-61.860
565.43,-63.292
566.41,-62.762
567.38,-62.368
568.36,-63.101
569.34,-63.136
570.31,-62.457
571.29,-62.584
572.27,-62.249
573.24,-63.329
574.22,-63.367
575.20,-63.631
576.17,-63.817
577.15,-63.540
578.12,-62.646
579.10,-63.497
580.08,-64.048
581.05,-64.976
582.03,-64.120
583.01,-64.239
583.98,-64.169
584.96,-63.520
585.94,-64.738
586.91,-65.121
587.89,-65.801
588.87,-65.614
589.84,-64.378
590.82,-65.529
591.80,-65.313
592.77,-65.706
593.75,-65.251
594.73,-65.392
595.70,-65.181
596.68,-65.388
597.66,-67.009
598.63,-65.268
599.61,-65.836
600.59,-65.698
601.56,-66.652
602.54,-65.897
603.52,-66.726
604.49,-66.493
605.47,-65.736
606.45,-66.058
607.42,-66.535
608.40,-65.363
609.38,-66.740
610.35,-66.476
611.33,-65.651
612.30,-67.227
613.28,-65.776
614.26,-66.593
615.23,-66.363
616.21,-65.445
617.19,-66.781
618.16,-65.685
619.14,-66.393
620.12,-66.176
621.09,-65.833
622.07,-66.295
623.05,-67.265
624.02,-67.232
625.00,-67.403
625.98,-67.022
626.95,-67.082
627.93,-66.260
628.91,-66.909
629.88,-67.097
630.86,-66.167
631.84,-66.323
632.81,-66.397
633.79,-65.760
634.77,-66.561
635.74,-65.933
636.72,-66.678
637.70,-66.022
638.67,-66.563
639.65,-66.236
640.62,-66.228
641.60,-65.871
642.58,-67.011
643.55,-67.489
644.53,-66.512
645.51,-67.349
646.48,-67.424
647.46,-67.893
648.44,-67.133
649.41,-66.828
650.39,-67.242
651.37,-66.138
652.34,-67.501
653.32,-67.217
654.30,-66.981
655.27,-67.276
656.25,-67.278
657.23,-66.970
658.20,-67.826
659.18,-66.004
660.16,-66.454
661.13,-67.401
662.11,-66.626
663.09,-66.674
664.06,-66.812
665.04,-66.219
666.02,-65.895
666.99,-66.411
667.97,-67.374
668.95,-67.631
669.92,-66.683
670.90,-66.389
671.88,-66.088
672.85,-66.192
673.83,-66.511
674.80,-66.254
675.78,-67.346
676.76,-65.908
677.73,-65.860
678.71,-65.435
679.69,-65.818
680.66,-64.266
681.64,-66.444
682.62,-66.296
683.59,-64.879
684.57,-65.431
685.55,-66.106
686.52,-65.862
687.50,-66.278
688.48,-65.066
689.45,-65.390
690.43,-66.948
